id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
9042,3528,5.9,19.5,116,108,45,1,2626,5633,1998,1,82200,127000,0,0
9043,3528,10.4,14.3,149,101,50,1,2536,5598,2001,1,83000,131000,1,0
9044,3528,10.5,10.5,110,108,16,1,2615,5693,1997,1,81300,124000,0,0
9045,3528,9.1,13.7,124,82,47,1,2735,5645,2002,1,67800,108000,1,0
9046,3528,10.1,12.6,127,89,43,1,2419,5578,2005,1,72500,122000,1,0
9047,3528,9.7,12.9,125,110,40,1,2534,5946,1996,1,84800,124000,0,0
9048,3528,7.1,19.8,140,81,56,1,2442,5849,2005,1,69600,112000,1,0
9049,3528,10.3,13.5,139,107,47,1,2412,5784,1998,1,85100,132000,0,0
9050,3528,7.2,19.5,140,94,67,1,2453,5608,1998,1,77400,126000,1,0
9051,3528,8.2,16.9,138,93,41,1,2645,5704,2001,1,76500,118000,1,0
9052,3528,8.8,12.5,110,112,15,1,2763,5628,2000,1,83700,125000,1,0
9053,3528,6.3,18.3,115,114,61,1,2651,5952,2000,1,85700,122000,1,0
9054,3528,6.8,20,136,105,51,1,2373,5957,2004,1,83400,125000,1,0
9055,3528,10.9,10.4,113,82,39,1,2300,5995,1996,1,66200,103000,1,0
9056,3528,12.2,10,122,86,22,1,2379,5595,2005,1,69900,119000,1,0
9057,3528,8.3,15.6,130,98,72,1,2605,5765,1999,1,78300,120000,1,0
9058,3528,9.7,13.1,127,92,63,1,2636,5667,2003,1,74300,117000,1,0
9059,3528,12.5,11.5,144,91,69,1,2776,5569,1997,1,76200,118000,1,0
9060,3528,8.9,13.5,120,100,43,1,2407,5659,2005,1,78000,127000,1,0
9061,3800,44.7,17.2,768,193,717,1,2738,5081,2005,1,261000,313000,0,1
9062,3800,54.9,19.2,1054,185,965,0,2882,5455,2000,2,299100,362000,0,0
9063,3800,42.6,19.1,813,236,751,0,2652,5385,2009,1,293600,366000,0,1
9064,3800,63.1,11.6,732,164,644,1,2979,5380,2007,2,238200,290000,1,1
9065,3800,59.5,16.8,999,248,926,1,2787,5087,2003,1,328700,389000,0,1
9066,3800,49.8,16.2,806,194,708,0,2845,5348,1992,1,267300,327000,0,0
9067,3800,39.6,15.6,617,218,518,0,2946,5293,2003,1,253400,305000,0,0
9068,3800,47.8,13.4,640,248,559,1,2791,5001,2009,1,274800,324000,0,1
9069,3800,52.6,14.8,778,234,726,1,2954,5007,2008,1,287100,332000,0,1
9070,3800,51.4,15,771,158,707,1,2983,5424,2000,2,240500,292000,0,1
9071,3800,94.8,10.7,1014,236,942,0,2885,5337,2003,1,323700,390000,0,0
9072,3800,46.7,16.8,785,133,729,0,2913,5401,2004,2,227600,281000,1,0
9073,3800,43.4,18.2,789,179,689,1,2626,5144,2009,2,255800,314000,0,0
9074,3800,37.2,17.6,655,149,582,0,2630,5273,1992,2,217700,276000,0,0
9075,3800,92.9,12.4,1152,232,1079,1,2868,5493,2007,2,342000,410000,0,1
9076,3800,69.7,14,976,136,918,2,2623,5168,2004,2,258000,318000,0,1
9077,3800,76.9,13.5,1038,126,966,0,2931,5484,2002,2,261300,315000,1,0
9078,3800,68.9,13.2,909,246,827,0,2883,5260,1993,1,314000,375000,0,0
9079,3800,62,12.6,781,127,685,1,2921,5283,2002,2,223400,271000,1,1
9080,3800,37.6,16.1,606,221,543,1,2822,5043,2009,2,253500,300000,0,0
9081,3520,21.7,13.8,300,134,235,0,2321,5071,1972,1,135400,190000,0,0
9082,3520,49.9,10,499,123,418,0,2407,5437,1976,2,158700,222000,0,0
9083,3520,10.8,12.6,136,146,49,0,2137,5074,1984,1,118000,164000,0,0
9084,3520,53.2,15.4,819,87,762,0,2435,5114,1979,1,185100,245000,0,0
9085,3520,50.7,10,507,138,411,0,2466,5415,1980,1,168900,232000,0,1
9086,3520,48.9,17.3,846,148,761,1,2248,5352,1974,1,225700,294000,0,0
9087,3520,43,15.1,649,87,597,0,2222,5089,1971,1,159600,212000,0,0
9088,3520,26.9,12.8,344,160,258,0,2237,5343,1980,1,157600,220000,0,0
9089,3520,37.8,12.5,472,106,385,0,2164,5050,1972,1,144400,192000,0,0
9090,3520,73.1,10.8,789,80,719,0,2410,5321,1974,1,176400,241000,0,0
9091,3520,40.1,19.7,790,97,697,0,2267,5455,1982,1,186700,250000,0,0
9092,3520,46.9,19.7,924,106,871,0,2209,5424,1983,1,212200,279000,0,0
9093,3520,45.6,10.8,492,88,424,1,2337,5298,1976,1,136600,194000,0,0
9094,3520,79.2,10.6,839,136,754,1,2172,5486,1984,1,217500,282000,0,0
9095,3520,49.5,10.8,535,114,483,1,2182,5002,1985,1,158700,207000,0,0
9096,3520,56.6,12.2,690,137,633,1,2417,5329,1978,1,195700,263000,0,0
9097,3520,46.3,14.5,672,142,590,0,2432,5124,1985,1,196000,258000,0,1
9098,3520,12.5,13.9,174,143,100,0,2270,5473,1976,1,121900,179000,0,0
9099,3520,48.8,13,635,135,561,1,2196,5475,1976,2,186300,247000,0,1
9100,3520,48.6,14,681,140,617,0,2007,5218,1981,1,196200,251000,0,0
9101,3525,28.5,19.9,567,179,488,1,2526,5590,1989,2,197500,253000,0,0
9102,3525,23.4,19.4,453,136,353,1,2859,5680,2004,1,154600,185000,0,0
9103,3525,27.9,13.8,385,163,334,1,2480,5873,2000,2,160600,204000,0,0
9104,3525,39.5,13.9,549,104,455,1,2801,5627,1998,1,149800,184000,0,0
9105,3525,18.8,19.4,364,155,287,0,2538,5869,1982,1,152600,193000,0,1
9106,3525,47.1,16.8,792,174,693,0,2400,5616,1986,1,228200,292000,0,1
9107,3525,38,10.5,399,93,345,0,2979,5602,1989,1,120700,149000,1,0
9108,3525,15.5,15.1,234,146,141,1,2496,5819,1983,1,127700,168000,0,1
9109,3525,63.1,13.4,846,97,779,0,2583,5712,1998,1,190100,236000,0,0
9110,3525,28.2,19.9,562,156,474,1,2782,5525,1998,1,182900,228000,0,1
9111,3525,45.9,14.6,670,151,576,0,2610,5534,1985,1,196100,250000,0,0
9112,3525,57,15.8,900,96,828,1,2612,5839,2004,1,197600,238000,1,0
9113,3525,19.3,10,193,166,143,1,2554,5742,1998,1,133600,175000,0,1
9114,3525,27.9,13.7,382,200,324,0,2467,5827,2002,1,182300,232000,0,1
9115,3525,9.8,17,166,187,90,1,2956,5995,2000,1,142100,155000,0,0
9116,3525,44.7,18.4,822,116,764,1,2927,5756,1995,1,197900,228000,0,1
9117,3525,77.2,10.7,826,129,737,0,2661,5994,1990,1,206300,239000,0,0
9118,3525,25.4,20,508,124,414,0,2445,5600,1996,2,155600,208000,0,0
9119,3525,39.8,13.2,526,122,457,1,2955,5879,2004,2,157100,175000,1,1
9120,3525,34.9,15.7,548,161,472,1,2794,5619,1994,1,183800,224000,0,1
9121,3528,11.8,10.7,126,111,27,1,2645,5705,2004,1,85500,128000,1,0
9122,3528,7.5,20,150,89,83,1,2518,5992,2005,1,75900,114000,1,0
9123,3528,8.8,15.5,137,99,68,1,2625,5842,1997,1,80000,119000,0,0
9124,3528,7,17.6,124,110,67,1,2721,5545,2001,1,84600,129000,1,0
9125,3528,10.3,12.9,133,109,83,1,2408,5545,2004,1,85400,138000,1,0
9126,3528,6.3,18.5,117,105,29,1,2584,5821,1996,1,80600,121000,0,0
9127,3528,6.6,18.6,122,120,31,1,2331,5628,2000,2,90300,140000,1,0
9128,3528,6.9,16.9,116,117,16,1,2485,5920,2000,1,87600,129000,1,0
9129,3528,7.1,17.4,123,104,61,1,2371,5501,2003,1,80900,134000,1,0
9130,3528,9.6,15.5,149,107,89,1,2514,5607,1999,1,86600,135000,1,0
9131,3528,8.9,14.1,126,105,26,1,2794,5782,2004,1,81900,119000,1,0
9132,3528,6.3,18.6,118,116,26,1,2425,5886,2001,1,87300,131000,1,0
9133,3528,7.7,14.4,111,96,59,1,2330,5612,2005,1,74300,122000,1,0
9134,3528,9,14.3,129,101,51,1,2615,5896,2002,1,80000,118000,1,0
9135,3528,8.5,17.5,148,87,56,1,2480,5596,2005,1,74400,123000,1,0
9136,3528,5.6,19.5,110,118,35,1,2459,5688,2004,1,87300,135000,1,0
9137,3528,9.3,12,111,101,28,1,2601,5705,1998,1,77300,120000,0,0
9138,3528,10.8,13.2,142,100,52,1,2627,5791,2000,1,81300,122000,1,0
9139,3528,7.8,18.7,145,111,58,1,2656,5970,1997,1,88400,125000,0,0
9140,3528,8.6,13.4,115,92,27,1,2590,5930,2004,1,72500,109000,1,0
9141,3800,109.3,10.8,1180,232,1084,2,2878,5138,2000,1,346200,408000,0,1
9142,3800,50.9,20,1017,199,922,2,2931,5066,1993,2,302000,352000,0,1
9143,3800,77,14,1078,194,983,0,2686,5259,1994,2,308100,377000,0,0
9144,3800,44.3,16.1,713,161,663,1,2915,5473,1994,2,233600,285000,0,1
9145,3800,29.2,17.3,506,218,410,0,2651,5201,2007,2,236700,294000,0,0
9146,3800,37.2,19.5,726,223,639,1,2892,5297,2010,1,272700,329000,0,1
9147,3800,53.4,13.8,737,123,665,0,2872,5223,2004,1,214400,260000,1,0
9148,3800,68.8,14,963,131,905,0,2771,5431,1999,1,253100,315000,1,0
9149,3800,89.8,12.6,1132,248,1079,0,2734,5352,1999,1,348600,425000,0,0
9150,3800,37.6,19.9,749,229,650,1,2917,5108,2005,1,279800,329000,0,0
9151,3800,47.1,17.8,839,139,752,1,2866,5181,1992,1,239300,287000,0,1
9152,3800,40.6,14.8,601,151,501,1,3000,5158,1996,1,210800,249000,0,0
9153,3800,58.9,19.9,1173,134,1104,1,2935,5194,1997,2,286400,339000,0,1
9154,3800,48.2,13.1,632,131,553,1,2848,5391,2002,1,203400,256000,1,1
9155,3800,65.1,14.7,957,192,902,1,2816,5266,2000,1,288800,349000,0,0
9156,3800,59.3,16.9,1002,185,921,0,2643,5113,2009,1,291300,353000,0,0
9157,3800,81.2,14.7,1193,248,1127,1,2772,5422,2005,1,357800,435000,0,0
9158,3800,44.8,12.7,569,124,495,1,2852,5391,2008,2,189800,240000,1,1
9159,3800,64.6,16.9,1091,171,991,1,2718,5376,1992,1,296300,366000,0,1
9160,3800,83.2,11.8,982,241,921,1,2738,5117,2002,1,321900,385000,0,0
9161,3520,19.8,19.5,387,123,305,1,2096,5193,1974,1,141900,195000,0,0
9162,3520,21.9,15.2,333,138,253,1,2140,5296,1970,1,142800,200000,0,1
9163,3520,10.6,19.3,204,105,121,1,2031,5022,1980,1,103600,145000,0,0
9164,3520,64.6,14.2,918,130,857,0,2480,5032,1979,2,225700,288000,0,0
9165,3520,32.5,18.5,601,125,504,1,2148,5484,1973,1,175200,233000,0,0
9166,3520,46.5,19.8,921,118,844,1,2097,5283,1983,1,219000,281000,0,0
9167,3520,40.5,16,648,97,549,1,2312,5120,1974,1,165400,221000,0,1
9168,3520,33,10.1,333,88,249,1,2353,5170,1978,1,112800,168000,0,0
9169,3520,29.2,11.4,333,120,277,1,2020,5226,1974,2,132000,183000,0,0
9170,3520,59.9,15.8,947,117,864,0,2165,5451,1973,1,222300,288000,0,0
9171,3520,23.2,14.5,336,86,267,0,2381,5306,1983,1,112000,171000,1,0
9172,3520,13.8,17.6,242,107,149,0,2123,5402,1977,1,110500,165000,0,0
9173,3520,10.1,14.9,150,135,89,0,2172,5054,1975,1,113500,160000,0,0
9174,3520,32.1,14.9,478,119,404,1,2039,5248,1971,1,153100,204000,0,0
9175,3520,11.8,12,141,137,67,0,2180,5459,1970,1,113400,167000,0,0
9176,3520,41.2,12.6,519,102,448,0,2444,5376,1971,1,149100,210000,0,0
9177,3520,12.7,10.8,137,145,82,1,2102,5394,1984,1,117600,171000,0,0
9178,3520,56.8,14.2,806,140,731,0,2420,5064,1977,2,214900,278000,0,0
9179,3520,38.2,16.4,626,86,556,0,2276,5463,1983,1,155500,215000,1,0
9180,3520,8.9,19.8,177,90,98,1,2299,5334,1971,1,90600,144000,0,0
9181,3525,35.9,12.2,438,155,355,1,2560,5576,2005,1,163700,213000,1,0
9182,3525,37.8,19,719,191,635,1,2549,5605,1998,1,227500,285000,0,1
9183,3525,16.9,12.8,216,119,125,1,2851,5810,1999,1,108800,131000,1,0
9184,3525,58.4,10.4,607,109,511,0,2777,5554,1993,1,161500,202000,0,1
9185,3525,21,13.5,283,174,203,0,2969,5540,1991,2,151900,187000,0,0
9186,3525,17.8,16.5,294,169,224,0,2500,5621,2000,1,150500,203000,0,0
9187,3525,14.7,19.5,287,145,209,0,2878,5857,2001,2,135100,158000,0,0
9188,3525,33,10.1,333,165,265,1,2899,5937,1983,1,154000,175000,0,1
9189,3525,15.4,16.9,261,168,163,0,2454,5947,2005,2,145000,184000,1,0
9190,3525,25.7,14.8,381,104,287,1,2507,5562,2003,1,124600,176000,1,0
9191,3525,61.8,12.5,772,184,689,0,2708,5507,1985,1,231200,287000,0,1
9192,3525,38.1,15,571,163,500,1,2500,5764,1992,2,188500,236000,0,1
9193,3525,56.7,15.3,868,134,802,0,2503,5908,2000,2,215600,260000,1,0
9194,3525,27.6,11.1,306,115,248,0,2606,5602,1992,1,119900,164000,0,0
9195,3525,25.7,17.1,440,145,368,0,2756,5511,1990,1,158000,201000,0,0
9196,3525,45.8,19.3,884,179,834,0,2479,5598,1990,1,245000,309000,0,0
9197,3525,54.1,10.3,557,171,471,1,2443,5745,1990,1,191200,242000,0,0
9198,3525,33.8,16.7,564,148,494,1,2452,5668,1994,2,178400,231000,0,1
9199,3525,66.5,11.3,751,195,678,0,2563,5812,1986,2,234700,284000,0,1
9200,3525,39.4,13.2,520,131,448,0,2621,5647,1983,2,161600,205000,0,1
9201,3528,7.3,19.8,144,90,68,1,2472,5930,2003,1,75600,116000,1,0
9202,3528,5.8,20,115,118,53,1,2779,5980,1995,1,88100,121000,0,0
9203,3528,10.3,13.3,137,87,56,1,2724,5699,2000,1,72800,112000,1,0
9204,3528,8.5,15.1,129,89,59,1,2324,5663,2003,1,72800,119000,1,0
9205,3528,8.6,14.7,126,118,42,1,2496,5585,1998,1,89700,140000,0,0
9206,3528,6.1,18.8,114,85,34,1,2456,5506,1995,1,68100,118000,1,0
9207,3528,7.5,16.5,124,118,65,1,2707,5863,2000,1,89400,127000,1,0
9208,3528,9.5,15.4,147,94,48,1,2355,5669,1998,1,78500,126000,1,0
9209,3528,11.1,10.6,118,119,50,1,2642,5889,2000,1,89100,128000,1,0
9210,3528,6.5,19.2,124,109,29,1,2685,5526,2000,1,84000,130000,1,0
9211,3528,7.4,17,126,111,45,1,2695,5712,2002,1,85500,127000,1,0
9212,3528,12.3,11,135,111,52,1,2552,5880,1998,1,86900,128000,0,0
9213,3528,10,14.1,141,99,67,1,2496,5526,1996,1,80600,131000,0,0
9214,3528,7,17,119,82,23,1,2756,5662,2002,1,67100,106000,1,0
9215,3528,10.5,11.6,122,86,47,1,2365,5939,1997,1,69900,110000,1,0
9216,3528,7.2,15.6,112,110,54,1,2360,5728,2003,1,82800,130000,1,0
9217,3528,11.2,12.5,140,80,55,1,2594,5562,2000,1,69000,115000,1,0
9218,3528,7.3,16,117,98,30,1,2490,5805,2003,1,76400,119000,1,0
9219,3528,8.8,13.6,120,100,54,1,2753,5713,1995,1,78000,117000,0,0
9220,3528,9.8,12.2,119,88,65,1,2346,5858,2004,1,70700,112000,1,0
9221,3800,53.3,19,1013,168,931,1,2944,5052,1990,1,282800,329000,0,1
9222,3800,56.4,19.9,1123,206,1071,0,2635,5459,2006,1,322100,398000,0,0
9223,3800,64.3,14.4,926,146,843,1,2897,5293,2000,2,256500,310000,0,1
9224,3800,47.4,16.9,801,166,722,1,2994,5084,2009,1,249800,290000,1,1
9225,3800,60.1,16.7,1003,145,930,2,2916,5448,2006,1,267500,325000,1,1
9226,3800,52.9,11.2,593,224,493,2,2726,5282,2003,2,253400,313000,0,1
9227,3800,42,19.8,831,221,756,0,2996,5241,2010,2,287300,340000,0,0
9228,3800,59.4,19.9,1182,203,1112,1,2990,5493,1990,2,329100,390000,0,0
9229,3800,58.1,19.3,1122,175,1072,1,3000,5029,2002,1,303300,349000,0,1
9230,3800,42.4,19.5,827,129,761,1,2929,5201,2010,2,231500,277000,1,0
9231,3800,60.1,15.8,950,130,889,1,2926,5356,1999,2,250500,305000,1,0
9232,3800,71,13.6,965,156,895,2,2772,5377,1995,2,268400,332000,0,0
9233,3800,101.9,11.2,1141,243,1052,1,2801,5467,2004,2,347000,419000,0,0
9234,3800,56,11.2,627,198,553,0,2729,5253,1998,2,242900,300000,0,1
9235,3800,43.3,16,693,184,640,0,2918,5047,1994,2,244400,286000,0,1
9236,3800,83.5,14.2,1185,217,1108,1,2784,5057,2006,1,338000,399000,0,0
9237,3800,90.7,10.7,970,238,906,1,2951,5029,1990,2,318300,368000,0,1
9238,3800,52.3,18.6,973,129,895,2,2801,5005,2006,2,253400,299000,1,1
9239,3800,29.2,17.2,502,207,403,1,2618,5327,2001,1,229500,292000,0,0
9240,3800,46.7,15.9,742,193,642,1,2883,5315,2000,1,257100,312000,0,1
9241,3520,27.1,18.6,504,144,419,0,2449,5320,1973,2,172000,235000,0,0
9242,3520,22.9,14.4,330,141,271,0,2464,5253,1983,2,144100,205000,0,0
9243,3520,36.3,15.6,567,109,495,0,2366,5270,1978,1,160500,221000,0,0
9244,3520,38.5,17.1,658,100,572,1,2370,5395,1973,1,168700,233000,0,0
9245,3520,65.7,12.7,834,81,741,1,2402,5176,1978,1,183700,246000,0,0
9246,3520,6.7,19.2,128,149,28,0,2100,5349,1980,1,118600,171000,0,0
9247,3520,42.8,15.1,647,83,580,1,2297,5080,1971,1,156900,210000,0,0
9248,3520,59.2,16.8,995,156,909,0,2244,5063,1972,1,252900,318000,0,1
9249,3520,24.6,17.9,441,87,371,0,2147,5209,1977,1,128400,177000,0,0
9250,3520,33.2,15.2,504,93,437,1,2465,5001,1984,1,141400,192000,1,1
9251,3520,62.7,11.4,715,156,662,0,2301,5011,1979,1,210900,270000,0,1
9252,3520,37.7,12.4,467,143,400,0,2398,5267,1984,1,165900,228000,0,0
9253,3520,27.9,17.4,486,142,425,1,2239,5304,1975,2,168100,227000,0,1
9254,3520,57.7,12.7,733,103,636,0,2025,5213,1982,1,181800,235000,0,0
9255,3520,46.3,15.2,704,130,633,0,2433,5363,1976,2,193600,261000,0,0
9256,3520,8.2,17.5,144,151,84,0,2244,5240,1974,2,122200,176000,0,0
9257,3520,57.4,11.9,683,124,607,1,2292,5396,1977,1,186900,252000,0,0
9258,3520,23.3,17.5,408,156,335,1,2446,5278,1984,1,164800,226000,0,0
9259,3520,50.1,16.5,826,106,737,0,2251,5427,1983,1,197500,263000,0,0
9260,3520,13,19.2,249,103,185,0,2066,5171,1974,1,109200,156000,0,0
9261,3525,35.6,17.9,638,107,557,0,2831,5574,2002,1,164900,203000,1,0
9262,3525,43.4,16.1,698,110,611,0,2793,5586,2000,1,175700,216000,1,0
9263,3525,26.8,13.9,373,134,277,0,2973,5828,1994,1,141400,162000,0,0
9264,3525,21.4,15.1,323,103,242,0,2996,5672,1992,1,115300,138000,0,0
9265,3525,22.1,19.2,425,123,365,0,2479,5686,1986,2,142600,188000,0,1
9266,3525,44.1,12.5,551,158,470,0,2490,5966,2002,1,182500,220000,0,0
9267,3525,60,13.8,828,163,766,0,2486,5623,1987,1,227000,287000,0,0
9268,3525,37.7,18.6,702,190,642,0,2549,5857,2005,1,224300,270000,0,0
9269,3525,21.1,17.8,376,177,306,0,2402,5773,1998,2,167600,220000,0,0
9270,3525,26.1,14.2,371,166,321,0,2993,5827,2005,1,160300,183000,1,0
9271,3525,18.8,14.8,278,150,206,0,2836,5594,1991,2,136700,173000,0,0
9272,3525,49.7,15.3,761,107,700,1,2907,5575,1998,1,183400,220000,0,0
9273,3525,27.9,12.4,346,102,256,1,2953,5815,2000,1,118100,137000,1,0
9274,3525,24.7,16,395,176,312,1,2540,5952,2001,2,169900,209000,0,0
9275,3525,63,10.7,674,188,612,1,2812,5812,2004,2,218900,254000,0,0
9276,3525,10.9,19.5,212,156,142,1,2457,5764,1991,2,130400,175000,0,0
9277,3525,11.2,18.7,210,167,139,1,2444,5690,1989,2,136700,186000,0,0
9278,3525,23.4,14.8,347,175,265,0,2497,5760,2000,1,162100,210000,0,1
9279,3525,14.6,11.4,166,175,77,1,2994,5695,2001,2,134900,158000,0,0
9280,3525,37.6,14.6,549,137,453,0,2596,5534,1996,2,169600,220000,0,1
9281,3528,10.5,13,136,110,72,1,2505,5073,1998,1,86400,132000,0,0
9282,3528,7,15.8,110,94,59,1,2337,5951,1996,1,72900,112000,1,0
9283,3528,7.5,17.8,134,86,48,1,2370,5885,1999,1,71700,114000,1,0
9284,3528,8,15.7,126,98,68,1,2723,5680,1995,1,77700,118000,0,0
9285,3528,9.2,12.4,114,86,35,1,2355,5807,1996,1,68700,112000,1,0
9286,3528,7.6,15.8,120,106,29,1,2301,5780,1997,1,81600,126000,0,0
9287,3528,8,15.7,125,119,49,1,2481,5929,2003,1,90200,132000,1,0
9288,3528,7.7,18.5,143,104,89,1,2444,5800,2005,1,83900,129000,1,0
9289,3528,11.6,12,139,85,54,1,2388,5952,1995,1,71900,113000,1,0
9290,3528,13.1,10.8,142,103,53,1,2610,5750,2001,1,83100,125000,1,0
9291,3528,10.6,12.3,130,117,69,1,2332,5669,1996,1,89700,138000,0,0
9292,3528,9.1,16.5,150,109,57,1,2753,5522,1995,1,87900,133000,0,0
9293,3528,6.5,19.2,124,87,34,1,2504,5649,1999,1,70800,117000,1,0
9294,3528,12.4,11.1,138,85,83,1,2618,5614,2003,1,71700,116000,1,0
9295,3528,6.9,19.5,135,110,56,1,2384,5679,1998,1,86300,136000,0,0
9296,3528,10.4,12.5,130,83,67,1,2735,5930,1999,1,69300,102000,1,0
9297,3528,5.9,18.8,111,104,19,1,2601,5583,1995,1,79100,125000,0,0
9298,3528,10.4,14.2,148,103,71,1,2787,5894,2001,1,84000,119000,1,0
9299,3528,8.4,16.4,138,103,74,1,2333,5676,2002,1,82500,130000,1,0
9300,3528,6.9,19.1,132,115,68,1,2565,5582,2001,1,88800,137000,1,0
9301,3800,78.8,10.5,827,141,749,1,2935,5083,1991,1,238700,280000,0,1
9302,3800,56.6,11.9,674,124,589,1,2730,5091,1999,1,205500,251000,1,1
9303,3800,113.2,10,1132,145,1060,0,2819,5151,2003,2,286800,342000,0,0
9304,3800,56.6,10,566,247,480,2,2949,5263,2004,1,263100,315000,0,0
9305,3800,98.3,12.2,1199,194,1127,0,2961,5073,2009,2,326300,379000,0,1
9306,3800,86.7,12.4,1075,143,995,2,2955,5385,1999,1,277100,335000,0,1
9307,3800,52.3,14.5,759,212,673,2,2635,5086,2010,1,271100,329000,0,1
9308,3800,93.8,11.2,1050,165,957,1,2923,5309,2007,2,286500,344000,1,1
9309,3800,59.6,19.5,1162,164,1079,2,2728,5145,1993,2,302700,364000,0,0
9310,3800,53.1,19.5,1035,227,975,2,2910,5317,2002,2,321500,385000,0,0
9311,3800,33.2,17.5,581,247,524,1,2997,5436,2002,1,265400,319000,0,0
9312,3800,55.5,17.6,977,134,892,1,2785,5182,2004,1,257000,311000,1,1
9313,3800,83.6,14.2,1187,245,1088,1,2942,5164,1992,2,355100,416000,0,0
9314,3800,48.7,11.1,541,126,459,1,2829,5432,1995,1,186800,236000,0,0
9315,3800,60.3,14.5,874,244,775,1,2931,5131,1996,1,307500,361000,0,0
9316,3800,45.8,15.3,701,181,643,1,2820,5278,2009,2,243800,298000,0,1
9317,3800,45.8,12.3,563,166,499,1,2636,5262,2004,1,214100,271000,0,0
9318,3800,102.9,10.4,1070,244,972,1,2884,5409,1991,2,336900,407000,0,0
9319,3800,52.3,12.8,670,159,607,1,2755,5369,2010,1,225900,284000,1,0
9320,3800,97.3,10.1,983,221,911,1,2605,5211,1992,2,310100,380000,0,1
9321,3520,51.5,14.7,757,123,664,1,2139,5003,1984,2,197400,251000,0,0
9322,3520,32.5,18.6,604,110,537,0,2294,5335,1974,1,166600,228000,0,0
9323,3520,20.7,18,372,156,281,0,2277,5162,1978,2,159400,219000,0,0
